Experiment,methadone_urban_threshold,methadone_non_urban_threshold,methadone_p_close,methadone_p_far,buprenorphine_duration,buprenorphine_urban_threshold,buprenorphine_non_urban_threshold,buprenorphine_p_close,buprenorphine_p_far,naltrexone_urban_threshold,naltrexone_non_urban_threshold,naltrexone_p_close,naltrexone_p_far
1,1,5,0.973042538,0.729781904,7,1,5,0.958636475,0.718977356,1,5,0.63694653,0.477709898
2,1,5,0.973042538,0.729781904,7,1,5,0.958636475,0.718977356,2,10,0.609970314,0.457477736
3,1,5,0.973042538,0.729781904,7,1,5,0.958636475,0.718977356,5,20,0.597064006,0.447798005
4,1,5,0.973042538,0.729781904,7,2,10,0.955506238,0.716629678,1,5,0.63694653,0.477709898
5,1,5,0.973042538,0.729781904,7,2,10,0.955506238,0.716629678,2,10,0.609970314,0.457477736
6,1,5,0.973042538,0.729781904,7,2,10,0.955506238,0.716629678,5,20,0.597064006,0.447798005
7,1,5,0.973042538,0.729781904,7,5,20,0.95326585,0.714949388,1,5,0.63694653,0.477709898
8,1,5,0.973042538,0.729781904,7,5,20,0.95326585,0.714949388,2,10,0.609970314,0.457477736
9,1,5,0.973042538,0.729781904,7,5,20,0.95326585,0.714949388,5,20,0.597064006,0.447798005
10,2,10,0.95889184,0.71916888,7,1,5,0.958636475,0.718977356,1,5,0.63694653,0.477709898
11,2,10,0.95889184,0.71916888,7,1,5,0.958636475,0.718977356,2,10,0.609970314,0.457477736
12,2,10,0.95889184,0.71916888,7,1,5,0.958636475,0.718977356,5,20,0.597064006,0.447798005
13,2,10,0.95889184,0.71916888,7,2,10,0.955506238,0.716629678,1,5,0.63694653,0.477709898
14,2,10,0.95889184,0.71916888,7,2,10,0.955506238,0.716629678,2,10,0.609970314,0.457477736
15,2,10,0.95889184,0.71916888,7,2,10,0.955506238,0.716629678,5,20,0.597064006,0.447798005
16,2,10,0.95889184,0.71916888,7,5,20,0.95326585,0.714949388,1,5,0.63694653,0.477709898
17,2,10,0.95889184,0.71916888,7,5,20,0.95326585,0.714949388,2,10,0.609970314,0.457477736
18,2,10,0.95889184,0.71916888,7,5,20,0.95326585,0.714949388,5,20,0.597064006,0.447798005
19,5,20,0.953748359,0.715311269,7,1,5,0.958636475,0.718977356,1,5,0.63694653,0.477709898
20,5,20,0.953748359,0.715311269,7,1,5,0.958636475,0.718977356,2,10,0.609970314,0.457477736
21,5,20,0.953748359,0.715311269,7,1,5,0.958636475,0.718977356,5,20,0.597064006,0.447798005
22,5,20,0.953748359,0.715311269,7,2,10,0.955506238,0.716629678,1,5,0.63694653,0.477709898
23,5,20,0.953748359,0.715311269,7,2,10,0.955506238,0.716629678,2,10,0.609970314,0.457477736
24,5,20,0.953748359,0.715311269,7,2,10,0.955506238,0.716629678,5,20,0.597064006,0.447798005
25,5,20,0.953748359,0.715311269,7,5,20,0.95326585,0.714949388,1,5,0.63694653,0.477709898
26,5,20,0.953748359,0.715311269,7,5,20,0.95326585,0.714949388,2,10,0.609970314,0.457477736
27,5,20,0.953748359,0.715311269,7,5,20,0.95326585,0.714949388,5,20,0.597064006,0.447798005
