zip,real_bup,real_meth,real_nal,s1_bup,s1_meth,s1_nal,s2_bup,s2_meth,s2_nal,s3_bup,s3_meth,s3_nal
60097,6.0564,9.6372,7.3557,3.855,5.851,2.6492,4.6166,11.6229,5.8656,1.3168,10.3025,3.8058
60098,4.5428,15.2275,8.6177,2.8685,1.1296,1.9872,4.0397,9.3296,5.7391,0.8106,4.8804,4.5673
60099,0.6663,6.0267,7.3688,2.5415,3.1595,10.8677,0.7356,7.6602,4.3501,4.7067,22.5703,21.6794
60101,3.9404,3.9853,3.6117,2.5881,7.1646,3.6001,0.7059,1.7594,1.3993,0.6279,1.7332,1.0967
60102,1.4422,6.4684,4.5021,2.7538,6.4903,5.3005,2.4428,3.1809,2.5942,1.7397,6.9996,4.9925
60103,0.083,7.736,5.2459,1.2861,3.8562,2.2248,1.0755,2.8589,2.0548,0.5837,6.7535,2.7053
60104,1.3644,1.2232,1.3887,3.6349,10.3197,1.7082,0.6935,5.1174,3.3474,0.1677,1.9002,2.0607
60106,4.7982,3.5043,2.9214,4.3868,7.3377,4.578,1.0349,5.5802,1.7059,1.2932,2.7516,0.1535
60107,0.6316,6.7642,3.0834,1.2544,2.5291,5.3724,1.1212,1.433,1.3096,0.7213,6.5138,4.5117
60108,0.6686,6.2333,5.5682,2.8681,5.2527,4.1039,1.4426,2.2212,2.4326,2.2549,1.4852,0.766
60110,3.2493,3.6199,5.5509,1.9476,6.0421,3.1054,1.6491,0.9109,1.9764,0.8081,9.3631,7.9843
60115,5.5562,24.7922,16.3584,2.337,3.78,8.1866,5.7376,2.2831,3.2764,1.6921,21.6195,21.9583
60118,2.9013,2.5498,4.9041,1.8207,4.8653,1.6263,0.681,2.3352,1.7871,2.2876,10.6935,8.3561
60119,7.9048,10.6943,8.8848,2.5307,2.9094,1.1509,4.9217,8.4819,7.4562,3.2997,7.6865,8.6391
60120,3.2886,3.7738,1.2031,0.9722,3.5834,5.2562,0.7996,1.7031,2.1747,3.0671,9.5544,3.1275
60123,0.5089,2.3066,2.8362,1.7613,3.6904,3.1941,1.118,1.7487,2.2559,2.0107,13.1029,4.4034
60126,2.8857,0.9168,1.4952,1.3315,10.7266,1.7015,2.1621,5.3156,1.3512,1.6292,1.3263,0.503
60130,0.6031,1.7132,1.3089,2.5017,11.2309,2.762,0.9181,2.4431,2.3442,1.4937,1.9262,1.5974
