Zipcode,Drug_Market
61374,0
61375,1
61376,0
61377,1
61378,0
61379,0
613HH,1
61401,0
61410,0
61411,1
61412,0
61413,0
61414,0
61415,0
61416,0
61417,0
61418,0
61419,0
61420,0
61421,0
61422,0
61423,0
61424,0
61425,0
61426,0
61427,1
61428,0
61430,0
61431,1
61432,1
61434,0
61435,0
61436,0
61437,0
61438,0
61439,0
61440,1
61441,1
61442,0
61443,0
61447,0
61448,0
61449,0
61450,0
61451,0
61452,1
61453,0
61454,0
61455,1
61458,0
61459,1
61460,0
61462,0
61465,0
61466,0
61467,0
61468,0
61469,0
61470,0
61471,0
61472,0
61473,0
61474,0
61475,0
61476,0
61477,1
61478,0
61479,0
61480,0
61482,1
61483,0
61484,1
61485,0
61486,0
61488,0
61489,0
61490,0
61491,0
614HH,0
61501,1
61516,1
61517,1
61519,1
61520,1
61523,1
61524,1
61525,1
61526,1
61528,1
61529,1
61530,1
61531,1
61532,1
61533,1
61534,1
61535,1
61536,1
61537,0
61539,1
61540,1
61541,1
61542,1
61543,1
61544,0
61545,1
61546,1
61547,1
61548,1
61550,1
61552,1
61554,1
61559,0
61560,0
61561,1
61563,1
61564,1
61565,0
61567,1
61568,1
61569,1
61570,1
61571,1
61572,0
615HH,1
61602,1
61603,1
61604,1
61605,1
61606,1
61607,1
61610,1
61611,1
61614,1
61615,1
616HH,1
61701,1
61704,1
61720,1
61721,1
61722,1
61723,1
61724,1
61725,1
61726,1
61727,1
61728,1
61729,1
61730,1
61731,1
61732,1
61733,1
61734,1
61735,1
61736,1
61737,1
61738,1
61739,1
61740,1
61741,1
61742,1
61743,1
61744,1
61745,1
61747,1
61748,1
61749,1
61750,1
61752,1
61753,1
61754,1
61755,1
61756,1
61758,1
61759,1
61760,1
61761,1
61764,1
61769,1
61770,1
61771,1
61772,1
61773,1
61774,1
61775,1
61776,1
61777,1
61778,1
617HH,1
61801,1
61802,1
61810,1
61811,1
61812,1
61813,1
61814,1
61815,1
61816,1
61817,1
61818,1
61820,1
61821,1
61822,1
61830,1
61831,1
61832,1
61833,1
61834,1
61839,1
61840,1
61841,1
61842,1
61843,1
61844,1
61845,1
61846,1
61847,1
61848,1
61849,1
61850,1
61851,1
61852,1
61853,1
61854,1
61855,1
61856,1
61857,1
61858,1
61859,1
61862,1
61863,1
61864,1
61865,1
61866,1
61870,1
61871,1
61872,1
61873,1
61874,1
61875,1
61876,1
61877,1
61878,1
61880,1
61882,1
61883,1
61884,1
618HH,1
61910,1
61911,1
61912,1
61913,1
61914,1
61917,1
61919,1
61920,1
61924,1
61925,1
61928,1
61929,1
61930,1
61931,1
61932,1
61933,1
61936,1
61937,1
61938,1
61940,1
61941,1
61942,1
61943,1
61944,1
61949,1
61951,1
61953,1
61956,1
61957,1
619HH,1
62001,1
62002,1
62006,1
62009,1
62010,1
62011,1
62012,1
62013,1
62014,1
62015,1
62016,1
62017,1
62018,1
62019,1
62021,1
62022,1
62023,1
62024,1
62025,1
62027,1
62028,1
62030,1
62031,1
62032,1
62033,1
62034,1
62035,1
62036,1
62037,1
62040,1
62044,1
62045,1
62046,1
62047,1
62048,1
62049,1
62050,1
62051,1
62052,1
62053,1
62054,1
62056,1
62058,1
62059,1
62060,1
62061,1
62062,1
62063,1
62065,1
62067,1
62069,1
62070,1
62074,1
62075,1
62077,1
62078,1
62079,1
62080,1
62081,1
62082,1
62083,1
62084,1
62085,1
62086,1
62087,1
62088,1
62089,1
62090,1
62091,1
62092,1
62093,1
62094,1
62095,1
62097,1
620HH,1
62201,1
62203,1
62204,1
62205,1
62206,1
62207,1
62208,1
62214,1
62215,1
62216,1
62217,1
62218,1
62219,1
62220,1
62221,1
62223,1
62225,1
62226,1
62230,1
62231,1
62232,1
62233,1
62234,1
62236,1
62237,1
62238,1
62239,1
62240,1
62241,1
62242,1
62243,1
62244,1
62245,1
62246,1
62249,1
62250,1
62253,1
62254,1
62255,1
62257,1
62258,1
62260,1
62261,1
62262,1
62263,1
62264,1
62265,1
62266,1
62268,1
62269,1
62271,1
62272,1
62273,1
62274,1
62275,1
62277,1
62278,1
62279,1
62280,1
62281,1
62283,1
62284,1
62285,1
62286,1
62288,1
62289,1
62292,1
62293,1
62294,1
62295,1
62297,1
62298,1
622HH,1
62301,1
62311,1
62312,1
62313,0
62314,1
62316,1
62318,0
62319,1
62320,1
62321,0
62323,1
62324,1
62325,1
62326,0
62330,0
62334,0
62336,0
62338,1
62339,1
62340,1
62341,0
62343,1
62344,1
62345,1
62346,1
62347,1
62348,0
62349,1
62351,1
62352,1
62353,1
62354,0
62355,1
62356,1
62357,1
62358,0
62359,1
62360,1
62361,1
62362,1
62363,1
62365,1
62366,1
62367,1
62370,1
62373,0
62374,0
62375,1
62376,1
62378,1
62379,0
62380,0
623HH,1
62401,1
62410,1
62411,1
62413,1
62414,1
62417,1
62418,1
62419,1
62420,1
62421,1
62422,1
62423,1
62424,1
62425,1
62426,1
62427,1
62428,1
62431,1
62432,1
62433,1
62434,1
62436,1
62438,1
62439,1
62440,1
62441,1
62442,1
62443,1
62444,1
62445,1
62446,1
62447,1
62448,1
62449,1
62450,1
62451,1
62452,1
62454,1
62458,1
62459,1
62460,1
62461,1
62462,1
62463,1
62465,1
62466,1
62467,1
62468,1
62469,1
62471,1
62473,1
62474,1
62475,1
62476,1
62477,1
62478,1
62479,1
62480,1
62481,1
624HH,1
62501,1
62510,1
62511,1
62512,1
62513,1
62514,1
62515,1
62517,1
62518,1
62519,1
62520,1
62521,1
62522,1
62523,1
62526,1
62530,1
62531,1
62532,1
62533,1
62534,1
62535,1
62536,1
62537,1
62538,1
62539,1
62540,1
62541,1
62543,1
62544,1
62545,1
62546,1
62547,1
62548,1
62549,1
62550,1
62551,1
62552,1
62553,1
62554,1
62555,1
62556,1
62557,1
62558,1
62560,1
62561,1
62563,1
62565,1
62567,1
62568,1
62570,1
62571,1
62572,1
62573,1
625HH,1
62601,1
62610,1
62611,1
62612,1
62613,1
62615,1
62617,1
62618,1
62621,1
62624,1
62625,1
62626,1
62627,1
62628,1
62629,1
62630,1
62631,1
62633,1
62634,1
62635,1
62638,1
62639,1
62640,1
62642,1
62643,1
62644,1
62649,1
62650,1
62655,1
62656,1
62661,1
62663,1
62664,1
62665,1
62666,1
62667,1
62668,1
62670,1
62671,1
62672,1
62673,1
62674,1
62675,1
62677,1
62681,1
62682,1
62684,1
62685,1
62686,1
62688,1
62689,1
62690,1
62691,1
62692,1
62693,1
62694,1
62695,1
626HH,1
62701,1
62702,1
62703,1
62704,1
62707,1
627HH,1
62801,1
62803,1
62806,1
62807,1
62808,1
62809,1
62810,1
62811,1
62812,1
62814,1
62815,1
62816,1
62817,1
62818,1
62819,1
62820,1
62821,1
62822,1
62823,1
62824,1
62825,1
62827,1
62828,1
62829,1
62830,1
62831,1
62832,1
62833,1
62835,1
62836,1
62837,1
62838,1
62839,1
62842,1
62843,1
62844,1
62846,1
62848,1
62849,1
62850,1
62851,1
62852,1
62853,1
62854,1
62857,1
62858,1
62859,1
62860,1
62861,1
62862,1
62863,1
62864,1
62865,1
62867,1
62868,1
62869,1
62870,1
62871,1
62872,1
62874,1
62875,1
62876,1
62877,1
62878,1
62879,1
62880,1
62881,1
62882,1
62883,1
62884,1
62885,1
62886,1
62887,1
62888,1
62889,1
62890,1
62891,1
62892,1
62893,1
62894,1
62895,1
62896,1
62897,1
62898,1
62899,1
628HH,1
628XX,1
62901,1
62905,1
62906,1
62907,1
62908,1
62910,1
62912,1
62914,1
62915,1
62916,1
62917,1
62918,1
62919,1
62920,1
62921,1
62922,1
62923,1
62924,1
62926,1
62927,1
62928,1
62930,1
62931,1
62932,1
62933,1
62934,1
62935,1
62938,1
62939,1
62940,1
62941,1
62942,1
62943,1
62946,1
62947,1
62948,1
62949,1
62950,1
62951,1
62952,1
62953,1
62954,1
62956,1
62957,1
62958,1
62959,1
62960,1
62962,1
62963,1
62964,1
62966,1
62967,1
62969,1
62970,1
62972,1
62974,1
62975,1
62976,1
62977,1
62979,1
62982,1
62983,1
62984,1
62985,1
62987,1
62988,1
62990,1
62991,1
62992,1
62993,1
62994,1
62995,1
62996,1
62997,1
62998,1
62999,1
629HH,1
